title,image,price,availability,categories,tags,description
Bulbasaur,https://scrapeme.live/wp-content/uploads/2018/08/001.png,63.00,45,"Pokemon, Seed","bulbasaur, Overgrow, Seed","Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger."
Ivysaur,https://scrapeme.live/wp-content/uploads/2018/08/002.png,87.00,142,"Pokemon, Seed","ivysaur, Overgrow, Seed","There is a bud on this Pokémon’s back. To support its weight, Ivysaur’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon."
Venusaur,https://scrapeme.live/wp-content/uploads/2018/08/003.png,105.00,30,"Pokemon, Seed","Overgrow, Seed, venusaur",There is a large flower on Venusaur’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.
Charmander,https://scrapeme.live/wp-content/uploads/2018/08/004.png,48.00,206,"Lizard, Pokemon","Blaze, charmander, Lizard","The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely."
Charmeleon,https://scrapeme.live/wp-content/uploads/2018/08/005.png,165.00,284,"Flame, Pokemon","Blaze, charmeleon, Flame","Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color."
Charizard,https://scrapeme.live/wp-content/uploads/2018/08/006.png,156.00,31,"Flame, Pokemon","Blaze, Charizard, Flame","Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself."
Squirtle,https://scrapeme.live/wp-content/uploads/2018/08/007.png,130.00,178,"Pokemon, Tiny Turtle","squirtle, Tiny Turtle, Torrent","Squirtle’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds."
Wartortle,https://scrapeme.live/wp-content/uploads/2018/08/008.png,123.00,24,"Pokemon, Turtle","Torrent, Turtle, wartortle","Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon’s toughness as a battler."
Blastoise,https://scrapeme.live/wp-content/uploads/2018/08/009.png,76.00,88,"Pokemon, Shellfish","blastoise, Shellfish, Torrent",Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.
Caterpie,https://scrapeme.live/wp-content/uploads/2018/08/010.png,73.00,40,"Pokemon, Worm","caterpie, Shield Dust, Worm","Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor."
